code,barcode2,name,unit
4746923160,,แฟ้มกระดุม deli DL-F104252 A4(สีเขียว)12ชิ้น/แพ็ค,แพ็ค
4746922864,28851907290966,ปากกาไวท์บอร์ด Quantum QW-1400 หมึกดำ (12ด้าม/กล่อง),กล่อง
47465013930,8856682001123,เทปใส Louis ใหญ่ 3/4นิ้วx36หลา (8ม้วน/กล่อง),กล่อง
4746617867,8859196111456,เทปผ้า Armstrong 36mmx8 สีฟ้า*8,แพ็ค
4548351072780,,ปากกายูนิเจ็ทสตรีม101 0.7น้ำเงินฟ้า *12ด,กล่อง
47465015940,8904054780562,ปากกาเจล 0.5 สีดำ O-Second-bk*12pcs,กล่อง
4746922465,8802203084731,ปากกา DONG-A หมึกเจล 0.5มม. Jellzone หมึกน้ำเงิน No.38 (12ด้าม/กล่อง),กล่อง
4746720233,,ดินน้ำมันไร้สารพิษ NARA 150g NA-PO-150-1 คละสี (4แพ็ค/ลัง),ลัง
FAH64003524,8851907248154,ปากกาไวท์บอร์ด แดง*ULTRA TANK ตราช้าง*12,กล่อง
28851907195001,,ปากกาเน้นข้อความ ควอนตั้มQH710ส้ม *12ด,กล่อง
6925236582790,,ดินสอกด2.0mm. CW-8090 *48ด,กล่อง
6947503787240,,ปากกา M&G หมึกเจล 1.0มม.  AGP13672 หมึกแดง (12ด้าม/กล่อง),กล่อง
FAH64000380,4742560,ธงธรรมจักร40x60cm. *10ผ,แพ็ค
47464012090,072512167144,ไส้ปากกา Pentel 0.1มม. LR10-A ดำ (12ชิ้น/กล่อง),กล่อง
47465013042,,ถุงช้อปปิ้ง JKZD-2057L*12,แพ็ค
4007817186589,,ปากกาลูกลื่น0.7 STAEDLER 4272F สีดำ (50ด้าม/กระปุก),กระปุก
47464011180,,ผ้าเช็ดหน้า Summer ขนาด12x12 *12ชิ้น,แพ็ค
4746820292,8858702094504,สติ๊กเกอร์ใสหลังเหลือง PIXZA JET A4 (50แผ่น),แพ็ค
